E,H,I,R,S,Time
123,0,62,27,9788,2.95814
122,0,63,27,9788,2.97398
123,0,63,27,9787,2.97406
124,0,63,27,9786,2.98161
123,0,64,27,9786,2.98208
123,0,63,28,9786,2.99878
124,0,63,28,9785,2.99985
123,0,64,28,9785,3.03975
124,0,64,28,9784,3.04086
125,0,64,28,9783,3.05917
124,0,65,28,9783,3.09977
123,0,66,28,9783,3.10989
124,0,66,28,9782,3.14079
125,0,66,28,9781,3.14119
126,0,66,28,9780,3.15101
127,0,66,28,9779,3.1518
127,0,65,29,9779,3.15609
126,0,66,29,9779,3.16231
127,0,66,29,9778,3.16388
128,0,66,29,9777,3.1673
129,0,66,29,9776,3.17316
130,0,66,29,9775,3.18231
131,0,66,29,9774,3.18772
131,0,65,30,9774,3.19315
132,0,65,30,9773,3.20872
131,0,66,30,9773,3.22488
131,0,65,31,9773,3.23397
132,0,65,31,9772,3.23938
131,0,66,31,9772,3.2394
132,0,66,31,9771,3.24154
133,0,66,31,9770,3.2539
132,0,67,31,9770,3.26958
132,0,66,32,9770,3.28087
132,0,65,33,9770,3.28236
133,0,65,33,9769,3.28534
134,0,65,33,9768,3.286
133,0,66,33,9768,3.29716
133,0,65,34,9768,3.30205
134,0,65,34,9767,3.32465
133,0,66,34,9767,3.32545
132,0,67,34,9767,3.3259
133,0,67,34,9766,3.33581
133,0,66,35,9766,3.3367
134,0,66,35,9765,3.36597
133,0,67,35,9765,3.37932
134,0,67,35,9764,3.3997
133,0,68,35,9764,3.40107
134,0,68,35,9763,3.40764
135,0,68,35,9762,3.43501
135,0,67,36,9762,3.43895
135,0,66,37,9762,3.44329
135,0,65,38,9762,3.44639
135,0,64,39,9762,3.45816
134,0,65,39,9762,3.45912
135,0,65,39,9761,3.47689
134,0,66,39,9761,3.48692
134,0,65,40,9761,3.49094
133,0,66,40,9761,3.49939
134,0,66,40,9760,3.51178
134,0,65,41,9760,3.5173
135,0,65,41,9759,3.55322
136,0,65,41,9758,3.55623
137,0,65,41,9757,3.55975
138,0,65,41,9756,3.56535
139,0,65,41,9755,3.56651
138,0,66,41,9755,3.58117
139,0,66,41,9754,3.59545
140,0,66,41,9753,3.5959
141,0,66,41,9752,3.60116
142,0,66,41,9751,3.61837
141,0,67,41,9751,3.63919
142,0,67,41,9750,3.64359
142,0,66,42,9750,3.64362
141,0,67,42,9750,3.65945
142,0,67,42,9749,3.6611
141,0,68,42,9749,3.69176
140,0,69,42,9749,3.69441
139,0,70,42,9749,3.7071
140,0,70,42,9748,3.75178
139,0,71,42,9748,3.75225
140,0,71,42,9747,3.75998
140,0,70,43,9747,3.76972
141,0,70,43,9746,3.77122
141,0,69,44,9746,3.83041
142,0,69,44,9745,3.84685
143,0,69,44,9744,3.85145
144,0,69,44,9743,3.90329
145,0,69,44,9742,3.91569
144,0,70,44,9742,3.9252
145,0,70,44,9741,3.92605
146,0,70,44,9740,3.95377
146,0,69,45,9740,3.97125
146,0,68,46,9740,3.98974
145,0,69,46,9740,4.01886
145,0,68,47,9740,4.02271
145,0,67,48,9740,4.0241
146,0,67,48,9739,4.02706
147,0,67,48,9738,4.03805
147,0,66,49,9738,4.04885
147,0,65,50,9738,4.06461
146,0,66,50,9738,4.07497
147,0,66,50,9737,4.08837
146,0,67,50,9737,4.10669
147,0,67,50,9736,4.11246
147,0,66,51,9736,4.14194
146,0,67,51,9736,4.15247
146,0,66,52,9736,4.16941
147,0,66,52,9735,4.1747
146,0,67,52,9735,4.17688
147,0,67,52,9734,4.19
146,0,68,52,9734,4.21762
147,0,68,52,9733,4.23354
148,0,68,52,9732,4.24156
147,0,69,52,9732,4.24945
146,0,70,52,9732,4.27079
145,0,71,52,9732,4.27197
146,0,71,52,9731,4.27273
145,0,72,52,9731,4.28617
146,0,72,52,9730,4.28619
147,0,72,52,9729,4.29126
148,0,72,52,9728,4.29148
147,0,73,52,9728,4.30107
146,0,74,52,9728,4.32459
