E,H,I,R,S,Time
951,0,487,1026,7536,19.0028
952,0,487,1026,7535,19.0057
951,0,488,1026,7535,19.0067
952,0,488,1026,7534,19.0203
953,0,488,1026,7533,19.0206
953,0,487,1027,7533,19.0212
954,0,487,1027,7532,19.0212
953,0,488,1027,7532,19.0227
954,0,488,1027,7531,19.0229
954,0,487,1028,7531,19.0229
953,0,488,1028,7531,19.0245
952,0,489,1028,7531,19.026
953,0,489,1028,7530,19.0274
954,0,489,1028,7529,19.0285
955,0,489,1028,7528,19.0286
954,0,490,1028,7528,19.0331
954,0,489,1029,7528,19.0337
954,0,488,1030,7528,19.0343
955,0,488,1030,7527,19.0347
955,0,487,1031,7527,19.0354
955,0,486,1032,7527,19.0411
956,0,486,1032,7526,19.0427
955,0,487,1032,7526,19.0456
955,0,486,1033,7526,19.0459
954,0,487,1033,7526,19.0484
953,0,488,1033,7526,19.0508
952,0,489,1033,7526,19.0517
952,0,488,1034,7526,19.0518
952,0,487,1035,7526,19.0521
953,0,487,1035,7525,19.0523
952,0,488,1035,7525,19.0535
953,0,488,1035,7524,19.0541
952,0,489,1035,7524,19.0574
951,0,490,1035,7524,19.0577
952,0,490,1035,7523,19.0597
953,0,490,1035,7522,19.0603
953,0,489,1036,7522,19.0603
952,0,490,1036,7522,19.0606
953,0,490,1036,7521,19.0631
952,0,491,1036,7521,19.0649
953,0,491,1036,7520,19.0664
953,0,490,1037,7520,19.0674
953,0,489,1038,7520,19.0702
953,0,488,1039,7520,19.0704
952,0,489,1039,7520,19.0705
952,0,488,1040,7520,19.0712
953,0,488,1040,7519,19.0718
953,0,487,1041,7519,19.0722
954,0,487,1041,7518,19.073
954,0,486,1042,7518,19.0735
955,0,486,1042,7517,19.0755
954,0,487,1042,7517,19.0771
953,0,488,1042,7517,19.0821
952,0,489,1042,7517,19.0847
953,0,489,1042,7516,19.0876
952,0,490,1042,7516,19.089
951,0,491,1042,7516,19.0911
952,0,491,1042,7515,19.0924
953,0,491,1042,7514,19.0933
954,0,491,1042,7513,19.0942
954,0,490,1043,7513,19.0954
955,0,490,1043,7512,19.0958
955,0,489,1044,7512,19.0958
954,0,490,1044,7512,19.0959
955,0,490,1044,7511,19.0969
956,0,490,1044,7510,19.1002
956,0,489,1045,7510,19.1009
957,0,489,1045,7509,19.101
958,0,489,1045,7508,19.1054
959,0,489,1045,7507,19.1058
958,0,490,1045,7507,19.1071
959,0,490,1045,7506,19.1089
959,0,489,1046,7506,19.1101
958,0,490,1046,7506,19.1121
958,0,489,1047,7506,19.1131
959,0,489,1047,7505,19.1161
959,0,488,1048,7505,19.1162
960,0,488,1048,7504,19.1164
961,0,488,1048,7503,19.1188
961,0,487,1049,7503,19.1198
960,0,488,1049,7503,19.1211
961,0,488,1049,7502,19.1219
962,0,488,1049,7501,19.126
963,0,488,1049,7500,19.1286
964,0,488,1049,7499,19.1302
965,0,488,1049,7498,19.1313
966,0,488,1049,7497,19.1315
967,0,488,1049,7496,19.1316
968,0,488,1049,7495,19.1318
969,0,488,1049,7494,19.1328
969,0,487,1050,7494,19.1353
969,0,486,1051,7494,19.136
970,0,486,1051,7493,19.1363
969,0,487,1051,7493,19.1388
968,0,488,1051,7493,19.1394
969,0,488,1051,7492,19.1412
968,0,489,1051,7492,19.144
968,0,488,1052,7492,19.1444
969,0,488,1052,7491,19.146
968,0,489,1052,7491,19.1505
967,0,490,1052,7491,19.1511
967,0,489,1053,7491,19.1512
968,0,489,1053,7490,19.1525
969,0,489,1053,7489,19.1543
969,0,488,1054,7489,19.1549
970,0,488,1054,7488,19.1613
970,0,487,1055,7488,19.1624
971,0,487,1055,7487,19.1636
970,0,488,1055,7487,19.1659
971,0,488,1055,7486,19.1669
971,0,487,1056,7486,19.1677
971,0,486,1057,7486,19.1692
972,0,486,1057,7485,19.1712
971,0,487,1057,7485,19.1726
970,0,488,1057,7485,19.1753
971,0,488,1057,7484,19.1768
971,0,487,1058,7484,19.182
971,0,486,1059,7484,19.1843
972,0,486,1059,7483,19.1854
972,0,485,1060,7483,19.1857
973,0,485,1060,7482,19.1861
974,0,485,1060,7481,19.187
973,0,486,1060,7481,19.1871
972,0,487,1060,7481,19.1895
971,0,488,1060,7481,19.1912
970,0,489,1060,7481,19.1916
971,0,489,1060,7480,19.1948
970,0,490,1060,7480,19.2006
970,0,489,1061,7480,19.2017
970,0,488,1062,7480,19.2027
970,0,487,1063,7480,19.2036
969,0,488,1063,7480,19.207
970,0,488,1063,7479,19.2075
971,0,488,1063,7478,19.2109
972,0,488,1063,7477,19.2123
973,0,488,1063,7476,19.2123
974,0,488,1063,7475,19.2125
973,0,489,1063,7475,19.213
972,0,490,1063,7475,19.2142
973,0,490,1063,7474,19.2161
974,0,490,1063,7473,19.2189
975,0,490,1063,7472,19.2206
976,0,490,1063,7471,19.2207
975,0,491,1063,7471,19.2222
974,0,492,1063,7471,19.2239
975,0,492,1063,7470,19.2246
976,0,492,1063,7469,19.2261
977,0,492,1063,7468,19.2282
978,0,492,1063,7467,19.2286
977,0,493,1063,7467,19.2296
977,0,492,1064,7467,19.2296
977,0,491,1065,7467,19.2314
978,0,491,1065,7466,19.2316
977,0,492,1065,7466,19.2409
977,0,491,1066,7466,19.2412
976,0,492,1066,7466,19.2417
975,0,493,1066,7466,19.2429
974,0,494,1066,7466,19.243
974,0,493,1067,7466,19.2462
975,0,493,1067,7465,19.2494
976,0,493,1067,7464,19.2549
975,0,494,1067,7464,19.2556
974,0,495,1067,7464,19.2573
974,0,494,1068,7464,19.2583
974,0,493,1069,7464,19.2616
974,0,492,1070,7464,19.2634
973,0,493,1070,7464,19.2669
972,0,494,1070,7464,19.2689
972,0,493,1071,7464,19.2691
971,0,494,1071,7464,19.2735
972,0,494,1071,7463,19.2736
973,0,494,1071,7462,19.2769
972,0,495,1071,7462,19.2812
972,0,494,1072,7462,19.2827
972,0,493,1073,7462,19.2829
971,0,494,1073,7462,19.2863
970,0,495,1073,7462,19.2875
970,0,494,1074,7462,19.288
971,0,494,1074,7461,19.2928
971,0,493,1075,7461,19.2947
972,0,493,1075,7460,19.2962
973,0,493,1075,7459,19.2964
974,0,493,1075,7458,19.2969
973,0,494,1075,7458,19.303
974,0,494,1075,7457,19.3045
973,0,495,1075,7457,19.3055
974,0,495,1075,7456,19.3073
975,0,495,1075,7455,19.3077
974,0,496,1075,7455,19.3082
974,0,495,1076,7455,19.3084
975,0,495,1076,7454,19.3085
974,0,496,1076,7454,19.3095
973,0,497,1076,7454,19.3097
974,0,497,1076,7453,19.3148
975,0,497,1076,7452,19.3153
975,0,496,1077,7452,19.3159
976,0,496,1077,7451,19.316
975,0,497,1077,7451,19.3162
974,0,498,1077,7451,19.32
973,0,499,1077,7451,19.3208
973,0,498,1078,7451,19.321
974,0,498,1078,7450,19.3219
973,0,499,1078,7450,19.3241
973,0,498,1079,7450,19.3251
972,0,499,1079,7450,19.327
972,0,498,1080,7450,19.3271
971,0,499,1080,7450,19.3292
972,0,499,1080,7449,19.3358
972,0,498,1081,7449,19.3368
972,0,497,1082,7449,19.3379
973,0,497,1082,7448,19.3411
974,0,497,1082,7447,19.3438
973,0,498,1082,7447,19.344
972,0,499,1082,7447,19.3443
971,0,500,1082,7447,19.348
970,0,501,1082,7447,19.3498
970,0,500,1083,7447,19.3499
971,0,500,1083,7446,19.3508
972,0,500,1083,7445,19.3576
973,0,500,1083,7444,19.3595
973,0,499,1084,7444,19.3596
972,0,500,1084,7444,19.3599
973,0,500,1084,7443,19.3617
974,0,500,1084,7442,19.3617
973,0,501,1084,7442,19.3635
973,0,500,1085,7442,19.3671
972,0,501,1085,7442,19.3729
973,0,501,1085,7441,19.3736
973,0,500,1086,7441,19.3747
974,0,500,1086,7440,19.3752
973,0,501,1086,7440,19.377
972,0,502,1086,7440,19.3786
973,0,502,1086,7439,19.3797
972,0,503,1086,7439,19.3804
972,0,502,1087,7439,19.3836
973,0,502,1087,7438,19.3839
973,0,501,1088,7438,19.3897
972,0,502,1088,7438,19.3901
971,0,503,1088,7438,19.3908
972,0,503,1088,7437,19.3918
973,0,503,1088,7436,19.3927
972,0,504,1088,7436,19.3942
972,0,503,1089,7436,19.3952
972,0,502,1090,7436,19.3961
972,0,501,1091,7436,19.3966
972,0,500,1092,7436,19.3966
971,0,501,1092,7436,19.3966
971,0,500,1093,7436,19.4017
972,0,500,1093,7435,19.4026
973,0,500,1093,7434,19.4031
974,0,500,1093,7433,19.4031
974,0,499,1094,7433,19.4058
973,0,500,1094,7433,19.406
974,0,500,1094,7432,19.4074
975,0,500,1094,7431,19.4089
975,0,499,1095,7431,19.4097
975,0,498,1096,7431,19.4108
976,0,498,1096,7430,19.413
977,0,498,1096,7429,19.4273
978,0,498,1096,7428,19.4283
979,0,498,1096,7427,19.4284
980,0,498,1096,7426,19.4311
980,0,497,1097,7426,19.4337
980,0,496,1098,7426,19.4347
981,0,496,1098,7425,19.4367
982,0,496,1098,7424,19.4392
983,0,496,1098,7423,19.4399
984,0,496,1098,7422,19.4406
985,0,496,1098,7421,19.4412
986,0,496,1098,7420,19.4414
986,0,495,1099,7420,19.4424
987,0,495,1099,7419,19.4425
986,0,496,1099,7419,19.4451
985,0,497,1099,7419,19.4455
984,0,498,1099,7419,19.4458
984,0,497,1100,7419,19.4518
984,0,496,1101,7419,19.452
985,0,496,1101,7418,19.4535
985,0,495,1102,7418,19.4577
984,0,496,1102,7418,19.4592
985,0,496,1102,7417,19.4613
984,0,497,1102,7417,19.4626
985,0,497,1102,7416,19.4632
986,0,497,1102,7415,19.4662
986,0,496,1103,7415,19.469
987,0,496,1103,7414,19.4719
988,0,496,1103,7413,19.4747
988,0,495,1104,7413,19.4777
989,0,495,1104,7412,19.478
990,0,495,1104,7411,19.4802
991,0,495,1104,7410,19.4832
992,0,495,1104,7409,19.4849
991,0,496,1104,7409,19.4866
990,0,497,1104,7409,19.4878
990,0,496,1105,7409,19.4886
991,0,496,1105,7408,19.4887
991,0,495,1106,7408,19.4888
992,0,495,1106,7407,19.4892
991,0,496,1106,7407,19.4895
992,0,496,1106,7406,19.4938
993,0,496,1106,7405,19.499
994,0,496,1106,7404,19.501
993,0,497,1106,7404,19.5029
994,0,497,1106,7403,19.5047
995,0,497,1106,7402,19.509
995,0,496,1107,7402,19.5113
995,0,495,1108,7402,19.5162
994,0,496,1108,7402,19.5177
995,0,496,1108,7401,19.5178
994,0,497,1108,7401,19.5206
994,0,496,1109,7401,19.521
995,0,496,1109,7400,19.522
996,0,496,1109,7399,19.5281
996,0,495,1110,7399,19.5293
995,0,496,1110,7399,19.53
995,0,495,1111,7399,19.5305
994,0,496,1111,7399,19.5306
994,0,495,1112,7399,19.5311
995,0,495,1112,7398,19.5315
996,0,495,1112,7397,19.5337
997,0,495,1112,7396,19.5347
996,0,496,1112,7396,19.5364
995,0,497,1112,7396,19.5369
996,0,497,1112,7395,19.5384
997,0,497,1112,7394,19.5412
996,0,498,1112,7394,19.5415
996,0,497,1113,7394,19.5415
996,0,496,1114,7394,19.5423
996,0,495,1115,7394,19.5426
997,0,495,1115,7393,19.5431
997,0,494,1116,7393,19.5434
998,0,494,1116,7392,19.5436
999,0,494,1116,7391,19.545
998,0,495,1116,7391,19.545
998,0,494,1117,7391,19.5452
997,0,495,1117,7391,19.5493
996,0,496,1117,7391,19.5499
996,0,495,1118,7391,19.5512
997,0,495,1118,7390,19.5531
998,0,495,1118,7389,19.5544
999,0,495,1118,7388,19.5562
999,0,494,1119,7388,19.5563
999,0,493,1120,7388,19.5566
1000,0,493,1120,7387,19.5578
1001,0,493,1120,7386,19.5646
1002,0,493,1120,7385,19.568
1003,0,493,1120,7384,19.5694
1004,0,493,1120,7383,19.5694
1005,0,493,1120,7382,19.5696
1006,0,493,1120,7381,19.5698
1007,0,493,1120,7380,19.5719
1006,0,494,1120,7380,19.5731
1007,0,494,1120,7379,19.5749
1007,0,493,1121,7379,19.5751
1007,0,492,1122,7379,19.5756
1006,0,493,1122,7379,19.5768
1006,0,492,1123,7379,19.5787
1007,0,492,1123,7378,19.5798
1007,0,491,1124,7378,19.5803
1008,0,491,1124,7377,19.5806
1009,0,491,1124,7376,19.5828
1008,0,492,1124,7376,19.584
1008,0,491,1125,7376,19.5873
1009,0,491,1125,7375,19.5874
1009,0,490,1126,7375,19.588
1010,0,490,1126,7374,19.5884
1010,0,489,1127,7374,19.5889
1011,0,489,1127,7373,19.5893
1010,0,490,1127,7373,19.5919
1009,0,491,1127,7373,19.5929
1010,0,491,1127,7372,19.5936
1011,0,491,1127,7371,19.5941
1012,0,491,1127,7370,19.5956
1012,0,490,1128,7370,19.5956
1013,0,490,1128,7369,19.6
1014,0,490,1128,7368,19.6021
1013,0,491,1128,7368,19.6026
1014,0,491,1128,7367,19.6062
1015,0,491,1128,7366,19.6079
1016,0,491,1128,7365,19.6105
1015,0,492,1128,7365,19.6116
1014,0,493,1128,7365,19.6153
1013,0,494,1128,7365,19.619
1014,0,494,1128,7364,19.622
1013,0,495,1128,7364,19.6239
1013,0,494,1129,7364,19.6251
1012,0,495,1129,7364,19.6273
1013,0,495,1129,7363,19.6277
1013,0,494,1130,7363,19.6277
1012,0,495,1130,7363,19.628
1013,0,495,1130,7362,19.6287
1014,0,495,1130,7361,19.6292
1015,0,495,1130,7360,19.6295
1015,0,494,1131,7360,19.6295
1015,0,493,1132,7360,19.6304
1016,0,493,1132,7359,19.6311
1016,0,492,1133,7359,19.6353
1015,0,493,1133,7359,19.6362
1016,0,493,1133,7358,19.64
1015,0,494,1133,7358,19.6409
1016,0,494,1133,7357,19.6449
1015,0,495,1133,7357,19.6476
1016,0,495,1133,7356,19.6481
1015,0,496,1133,7356,19.6486
1015,0,495,1134,7356,19.6495
1014,0,496,1134,7356,19.6506
1014,0,495,1135,7356,19.6514
1015,0,495,1135,7355,19.6527
1014,0,496,1135,7355,19.6538
1014,0,495,1136,7355,19.6555
1015,0,495,1136,7354,19.6577
1014,0,496,1136,7354,19.6585
1013,0,497,1136,7354,19.6598
1013,0,496,1137,7354,19.6602
1014,0,496,1137,7353,19.6605
1014,0,495,1138,7353,19.6611
1015,0,495,1138,7352,19.662
1016,0,495,1138,7351,19.6643
1017,0,495,1138,7350,19.6663
1018,0,495,1138,7349,19.6688
1017,0,496,1138,7349,19.6697
1018,0,496,1138,7348,19.6701
1018,0,495,1139,7348,19.6702
1017,0,496,1139,7348,19.6713
1017,0,495,1140,7348,19.6728
1018,0,495,1140,7347,19.6731
1019,0,495,1140,7346,19.6782
1019,0,494,1141,7346,19.6802
1020,0,494,1141,7345,19.6808
1021,0,494,1141,7344,19.6831
1022,0,494,1141,7343,19.6833
1023,0,494,1141,7342,19.6879
1023,0,493,1142,7342,19.6905
1023,0,492,1143,7342,19.6918
1024,0,492,1143,7341,19.6921
1025,0,492,1143,7340,19.6929
1026,0,492,1143,7339,19.693
1027,0,492,1143,7338,19.6937
1026,0,493,1143,7338,19.6972
1027,0,493,1143,7337,19.6982
1028,0,493,1143,7336,19.6985
1029,0,493,1143,7335,19.7074
1028,0,494,1143,7335,19.7085
1027,0,495,1143,7335,19.7085
1026,0,496,1143,7335,19.7103
1026,0,495,1144,7335,19.7132
1025,0,496,1144,7335,19.7146
1026,0,496,1144,7334,19.7162
1027,0,496,1144,7333,19.7178
1028,0,496,1144,7332,19.7209
1027,0,497,1144,7332,19.7217
1028,0,497,1144,7331,19.722
1027,0,498,1144,7331,19.7225
1028,0,498,1144,7330,19.7237
1027,0,499,1144,7330,19.7243
1028,0,499,1144,7329,19.7246
1028,0,498,1145,7329,19.725
1028,0,497,1146,7329,19.7256
1027,0,498,1146,7329,19.7263
1026,0,499,1146,7329,19.727
1026,0,498,1147,7329,19.727
1027,0,498,1147,7328,19.7282
1028,0,498,1147,7327,19.7283
1027,0,499,1147,7327,19.7291
1027,0,498,1148,7327,19.7291
1028,0,498,1148,7326,19.7293
1029,0,498,1148,7325,19.7307
1030,0,498,1148,7324,19.7317
1029,0,499,1148,7324,19.7326
1029,0,498,1149,7324,19.7333
1029,0,497,1150,7324,19.7345
1030,0,497,1150,7323,19.7355
1029,0,498,1150,7323,19.736
1029,0,497,1151,7323,19.7363
1030,0,497,1151,7322,19.7387
1030,0,496,1152,7322,19.7389
1031,0,496,1152,7321,19.7402
1032,0,496,1152,7320,19.7475
1032,0,495,1153,7320,19.7484
1031,0,496,1153,7320,19.7498
1032,0,496,1153,7319,19.7513
1032,0,495,1154,7319,19.7534
1033,0,495,1154,7318,19.7582
1034,0,495,1154,7317,19.7594
1035,0,495,1154,7316,19.761
1036,0,495,1154,7315,19.7616
1036,0,494,1155,7315,19.7619
1037,0,494,1155,7314,19.7669
1038,0,494,1155,7313,19.7682
1038,0,493,1156,7313,19.7686
1037,0,494,1156,7313,19.7687
1038,0,494,1156,7312,19.7721
1039,0,494,1156,7311,19.7724
1038,0,495,1156,7311,19.7739
1038,0,494,1157,7311,19.7741
1038,0,493,1158,7311,19.7756
1038,0,492,1159,7311,19.7768
1039,0,492,1159,7310,19.7783
1038,0,493,1159,7310,19.7791
1038,0,492,1160,7310,19.7831
1038,0,491,1161,7310,19.7832
1038,0,490,1162,7310,19.7857
1037,0,491,1162,7310,19.788
1038,0,491,1162,7309,19.7882
1039,0,491,1162,7308,19.7912
1040,0,491,1162,7307,19.7924
1039,0,492,1162,7307,19.7938
1039,0,491,1163,7307,19.7944
1038,0,492,1163,7307,19.7949
1037,0,493,1163,7307,19.7988
1038,0,493,1163,7306,19.801
1037,0,494,1163,7306,19.8014
1038,0,494,1163,7305,19.8049
1039,0,494,1163,7304,19.8068
1038,0,495,1163,7304,19.8093
1039,0,495,1163,7303,19.8098
1040,0,495,1163,7302,19.8101
1040,0,494,1164,7302,19.8133
1041,0,494,1164,7301,19.8154
1041,0,493,1165,7301,19.8168
1042,0,493,1165,7300,19.8182
1042,0,492,1166,7300,19.8184
1041,0,493,1166,7300,19.8193
1042,0,493,1166,7299,19.8196
1043,0,493,1166,7298,19.8215
1044,0,493,1166,7297,19.8238
1045,0,493,1166,7296,19.8246
1044,0,494,1166,7296,19.8282
1043,0,495,1166,7296,19.83
1043,0,494,1167,7296,19.8323
1043,0,493,1168,7296,19.8327
1042,0,494,1168,7296,19.833
1043,0,494,1168,7295,19.8346
1044,0,494,1168,7294,19.8347
1043,0,495,1168,7294,19.836
1044,0,495,1168,7293,19.838
1045,0,495,1168,7292,19.8422
1045,0,494,1169,7292,19.8449
1044,0,495,1169,7292,19.8473
1043,0,496,1169,7292,19.8487
1043,0,495,1170,7292,19.8501
1042,0,496,1170,7292,19.8515
1043,0,496,1170,7291,19.8534
1043,0,495,1171,7291,19.8551
1042,0,496,1171,7291,19.8554
1041,0,497,1171,7291,19.8585
1041,0,496,1172,7291,19.8592
1042,0,496,1172,7290,19.8617
1043,0,496,1172,7289,19.8651
1044,0,496,1172,7288,19.8714
1043,0,497,1172,7288,19.8723
1042,0,498,1172,7288,19.8726
1042,0,497,1173,7288,19.874
1041,0,498,1173,7288,19.874
1041,0,497,1174,7288,19.8743
1040,0,498,1174,7288,19.8746
1039,0,499,1174,7288,19.8753
1040,0,499,1174,7287,19.8754
1041,0,499,1174,7286,19.8755
1042,0,499,1174,7285,19.8788
1042,0,498,1175,7285,19.88
1042,0,497,1176,7285,19.8825
1042,0,496,1177,7285,19.8826
1041,0,497,1177,7285,19.8839
1040,0,498,1177,7285,19.8847
1041,0,498,1177,7284,19.8911
1042,0,498,1177,7283,19.8927
1042,0,497,1178,7283,19.8955
1041,0,498,1178,7283,19.905
1042,0,498,1178,7282,19.9054
1042,0,497,1179,7282,19.9055
1043,0,497,1179,7281,19.9065
1044,0,497,1179,7280,19.9075
1044,0,496,1180,7280,19.9079
1043,0,497,1180,7280,19.9089
1042,0,498,1180,7280,19.9113
1041,0,499,1180,7280,19.9116
1042,0,499,1180,7279,19.9118
1041,0,500,1180,7279,19.9141
1041,0,499,1181,7279,19.9146
1042,0,499,1181,7278,19.9158
1041,0,500,1181,7278,19.9175
1042,0,500,1181,7277,19.9195
1042,0,499,1182,7277,19.9217
1043,0,499,1182,7276,19.922
1042,0,500,1182,7276,19.9249
1041,0,501,1182,7276,19.926
1042,0,501,1182,7275,19.9294
1043,0,501,1182,7274,19.9306
1044,0,501,1182,7273,19.9316
1045,0,501,1182,7272,19.9341
1044,0,502,1182,7272,19.9343
1044,0,501,1183,7272,19.9346
1045,0,501,1183,7271,19.9356
1044,0,502,1183,7271,19.9356
1045,0,502,1183,7270,19.9377
1046,0,502,1183,7269,19.939
1045,0,503,1183,7269,19.9391
1046,0,503,1183,7268,19.9412
1047,0,503,1183,7267,19.9426
1048,0,503,1183,7266,19.9448
1047,0,504,1183,7266,19.9461
1047,0,503,1184,7266,19.9461
1046,0,504,1184,7266,19.9494
1046,0,503,1185,7266,19.9503
1046,0,502,1186,7266,19.9508
1047,0,502,1186,7265,19.9519
1047,0,501,1187,7265,19.9529
1048,0,501,1187,7264,19.9535
1048,0,500,1188,7264,19.9539
1049,0,500,1188,7263,19.9545
1048,0,501,1188,7263,19.9575
1049,0,501,1188,7262,19.9582
1050,0,501,1188,7261,19.9589
1049,0,502,1188,7261,19.9593
1050,0,502,1188,7260,19.9597
1051,0,502,1188,7259,19.9611
1052,0,502,1188,7258,19.9626
1051,0,503,1188,7258,19.9682
1050,0,504,1188,7258,19.9691
1049,0,505,1188,7258,19.974
1050,0,505,1188,7257,19.974
1050,0,504,1189,7257,19.9747
1049,0,505,1189,7257,19.9751
1050,0,505,1189,7256,19.9751
1050,0,504,1190,7256,19.9752
1051,0,504,1190,7255,19.9752
1050,0,505,1190,7255,19.9777
1049,0,506,1190,7255,19.979
1049,0,505,1191,7255,19.9816
1050,0,505,1191,7254,19.9823
1051,0,505,1191,7253,19.9863
1051,0,504,1192,7253,19.9868
1051,0,503,1193,7253,19.9887
1052,0,503,1193,7252,19.9908
1053,0,503,1193,7251,19.9913
1054,0,503,1193,7250,19.9929
1053,0,504,1193,7250,19.9933
1053,0,503,1194,7250,19.9939
1052,0,504,1194,7250,19.9964
1051,0,505,1194,7250,19.9969
1050,0,506,1194,7250,19.9983
1051,0,506,1194,7249,19.9988
1051,0,505,1195,7249,19.9999
1051,0,504,1196,7249,20.0013
1051,0,503,1197,7249,20.0018
1051,0,502,1198,7249,20.0035
1052,0,502,1198,7248,20.0041
1053,0,502,1198,7247,20.0049
1053,0,501,1199,7247,20.0081
1052,0,502,1199,7247,20.0089
1052,0,501,1200,7247,20.0089
1052,0,500,1201,7247,20.0119
1051,0,501,1201,7247,20.0137
1050,0,502,1201,7247,20.0153
1049,0,503,1201,7247,20.0177
1049,0,502,1202,7247,20.0186
1050,0,502,1202,7246,20.0189
1049,0,503,1202,7246,20.0192
1048,0,504,1202,7246,20.0206
1048,0,503,1203,7246,20.0225
1047,0,504,1203,7246,20.0234
1046,0,505,1203,7246,20.0241
1045,0,506,1203,7246,20.0242
1046,0,506,1203,7245,20.0282
1046,0,505,1204,7245,20.0293
1045,0,506,1204,7245,20.0305
1046,0,506,1204,7244,20.0401
1045,0,507,1204,7244,20.0421
1046,0,507,1204,7243,20.0423
1045,0,508,1204,7243,20.0436
1046,0,508,1204,7242,20.044
1047,0,508,1204,7241,20.0465
1048,0,508,1204,7240,20.0474
1049,0,508,1204,7239,20.0489
1050,0,508,1204,7238,20.0504
1051,0,508,1204,7237,20.0529
1052,0,508,1204,7236,20.0538
1052,0,507,1205,7236,20.0542
1051,0,508,1205,7236,20.0565
1052,0,508,1205,7235,20.0568
1052,0,507,1206,7235,20.0648
1053,0,507,1206,7234,20.0666
1052,0,508,1206,7234,20.0674
1051,0,509,1206,7234,20.0687
1052,0,509,1206,7233,20.0704
1051,0,510,1206,7233,20.0704
1050,0,511,1206,7233,20.0721
1051,0,511,1206,7232,20.0725
1052,0,511,1206,7231,20.0729
1051,0,512,1206,7231,20.073
1050,0,513,1206,7231,20.0803
1049,0,514,1206,7231,20.0817
1050,0,514,1206,7230,20.0853
1051,0,514,1206,7229,20.0903
1052,0,514,1206,7228,20.0913
1052,0,513,1207,7228,20.0944
1051,0,514,1207,7228,20.0948
1051,0,513,1208,7228,20.0951
1051,0,512,1209,7228,20.0968
1051,0,511,1210,7228,20.0988
1050,0,512,1210,7228,20.1
1049,0,513,1210,7228,20.1002
1050,0,513,1210,7227,20.1051
1050,0,512,1211,7227,20.1067
1049,0,513,1211,7227,20.1079
1050,0,513,1211,7226,20.1096
1051,0,513,1211,7225,20.1101
1052,0,513,1211,7224,20.111
1051,0,514,1211,7224,20.1123
1050,0,515,1211,7224,20.1125
1051,0,515,1211,7223,20.1139
1050,0,516,1211,7223,20.1163
1049,0,517,1211,7223,20.1178
1048,0,518,1211,7223,20.1197
1047,0,519,1211,7223,20.1197
1048,0,519,1211,7222,20.1204
1048,0,518,1212,7222,20.1215
1048,0,517,1213,7222,20.1225
1048,0,516,1214,7222,20.1229
1048,0,515,1215,7222,20.1246
1048,0,514,1216,7222,20.1256
1049,0,514,1216,7221,20.1263
1048,0,515,1216,7221,20.1268
1049,0,515,1216,7220,20.1278
1050,0,515,1216,7219,20.1305
1051,0,515,1216,7218,20.134
1051,0,514,1217,7218,20.1343
1051,0,513,1218,7218,20.1363
1052,0,513,1218,7217,20.1373
1052,0,512,1219,7217,20.1385
1051,0,513,1219,7217,20.139
1052,0,513,1219,7216,20.1411
1053,0,513,1219,7215,20.1421
1054,0,513,1219,7214,20.1453
1055,0,513,1219,7213,20.1477
1056,0,513,1219,7212,20.1482
1055,0,514,1219,7212,20.1489
1056,0,514,1219,7211,20.149
1057,0,514,1219,7210,20.1495
1058,0,514,1219,7209,20.1505
1059,0,514,1219,7208,20.1557
1060,0,514,1219,7207,20.1564
1059,0,515,1219,7207,20.1597
1059,0,514,1220,7207,20.1625
1060,0,514,1220,7206,20.1652
1061,0,514,1220,7205,20.1681
1062,0,514,1220,7204,20.1696
1063,0,514,1220,7203,20.174
1062,0,515,1220,7203,20.174
1061,0,516,1220,7203,20.1751
1062,0,516,1220,7202,20.1771
1061,0,517,1220,7202,20.1775
1061,0,516,1221,7202,20.1789
1061,0,515,1222,7202,20.1801
1062,0,515,1222,7201,20.1807
1061,0,516,1222,7201,20.1807
1060,0,517,1222,7201,20.1817
1059,0,518,1222,7201,20.1819
1059,0,517,1223,7201,20.1862
1058,0,518,1223,7201,20.1878
1057,0,519,1223,7201,20.1881
1057,0,518,1224,7201,20.1882
1058,0,518,1224,7200,20.1884
1059,0,518,1224,7199,20.1915
1060,0,518,1224,7198,20.1915
1060,0,517,1225,7198,20.1918
1059,0,518,1225,7198,20.1951
1058,0,519,1225,7198,20.1958
1058,0,518,1226,7198,20.1983
1059,0,518,1226,7197,20.1986
1060,0,518,1226,7196,20.1988
1059,0,519,1226,7196,20.1988
1058,0,520,1226,7196,20.2008
1057,0,521,1226,7196,20.2047
1057,0,520,1227,7196,20.2047
1057,0,519,1228,7196,20.2049
1057,0,518,1229,7196,20.2062
1058,0,518,1229,7195,20.2085
1058,0,517,1230,7195,20.2098
1058,0,516,1231,7195,20.2109
1059,0,516,1231,7194,20.2111
1059,0,515,1232,7194,20.2113
1060,0,515,1232,7193,20.2168
1060,0,514,1233,7193,20.2213
1061,0,514,1233,7192,20.2225
1062,0,514,1233,7191,20.2238
1063,0,514,1233,7190,20.2333
1062,0,515,1233,7190,20.2341
1063,0,515,1233,7189,20.2346
1064,0,515,1233,7188,20.2365
1063,0,516,1233,7188,20.2424
1064,0,516,1233,7187,20.246
1063,0,517,1233,7187,20.2468
1064,0,517,1233,7186,20.2497
1063,0,518,1233,7186,20.2526
1064,0,518,1233,7185,20.2533
1064,0,517,1234,7185,20.254
1065,0,517,1234,7184,20.2557
1064,0,518,1234,7184,20.2559
